Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Virtual Cycling,2024-03-02 09:27:28,false,"ROUVY - L'Etape Czech Republic 2023 - Virtual | Stage 5","10.90","439","00:51:23","159","175","3.5","--","--","12.7","42.4","860","793","0.00","0.0","0.0","0","--","57","154","165","--","95.0","159","149","425","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","51:22.100","1","0.0","--","--","--","--","--","--","--","--","00:51:22","00:51:26","924","1,467"
Running,2024-03-01 11:30:26,false,"Denton County - Drill Workout","1.74","286","00:26:20","132","176","3.0","128","209","15:09","5:59","60","40","0.81","8.3","6.6","295","14:54","--","--","312","--","0.0","--","250","747","0.0","0.0","--","0","0","0","--","0:00","68.0","0:00","No","00:03.73","16","75.2","--","--","--","--","--","--","--","--","00:26:15","00:26:20","555","589"
Running,2024-03-01 11:19:17,false,"Denton County Running","0.67","102","00:09:43.7","127","146","1.8","137","167","14:35","11:41","7","28","0.78","8.8","6.8","355","14:46","--","--","281","--","0.0","--","260","451","0.0","0.0","--","0","0","0","--","0:00","71.6","0:00","No","02:15.85","2","73.4","--","--","--","--","--","--","--","--","00:09:43.7","00:09:43.7","560","583"
Walking,2024-03-01 11:08:45,false,"Denton County Walking","0.60","88","00:10:08","104","124","0.9","120","239","16:48","14:49","18","11","0.80","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","10:08.50","1","0.0","--","--","--","--","--","--","--","--","00:10:00","00:10:08","566","587"
Running,2024-02-25 09:06:06,false,"Denton County - Run Walk Run®","3.16","509","00:45:01","144","168","3.3","142","234","14:15","8:19","144","147","0.78","9.1","7.0","315","14:13","--","--","322","--","0.0","--","290","562","0.0","0.0","--","0","0","0","--","0:00","68.0","0:00","No","00:19.68","9","78.8","--","--","--","--","--","--","--","--","00:44:59","00:45:01","545","585"
Walking,2024-02-25 08:54:16,false,"Denton County Walking","0.69","101","00:11:26","109","128","1.1","120","136","16:27","11:47","23","24","0.81","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:19.93","2","0.0","--","--","--","--","--","--","--","--","00:11:26","00:11:26","566","591"
Walking,2024-02-23 12:25:19,false,"Denton County Walking","3.41","480","01:00:51","107","122","2.3","113","236","17:50","14:14","102","98","0.80","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:37.94","6","0.0","--","--","--","--","--","--","--","--","01:00:49","01:00:51","555","595"
Running,2024-02-22 07:46:39,false,"Denton County - Drill Workout","1.75","266","00:25:12","118","155","2.9","125","231","14:25","6:26","42","49","0.84","7.7","6.4","378","14:22","--","--","305","--","0.0","--","245","711","0.0","0.0","--","0","0","0","--","0:00","71.6","0:00","No","00:04.16","16","80.6","--","--","--","--","--","--","--","--","00:25:10","00:25:12","549","579"
Running,2024-02-21 16:50:04,false,"Denton County - Drill Workout","1.96","311","00:27:23","122","157","3.1","137","190","13:58","8:35","85","85","0.83","7.9","6.6","363","13:51","--","--","328","--","0.0","--","280","585","0.0","0.0","--","0","0","0","--","0:00","77.0","0:00","No","00:07.53","13","84.2","--","--","--","--","--","--","--","--","00:27:21","00:27:23","554","589"
Running,2024-02-18 12:54:53,false,"Denton County - Run","3.23","506","00:47:17","132","167","3.3","133","233","14:38","10:34","85","58","0.81","8.3","6.7","321","14:30","--","--","298","--","0.0","--","258","498","0.0","0.0","--","0","0","0","--","0:00","66.2","0:00","No","00:59.15","8","80.6","--","--","--","--","--","--","--","--","00:47:14","00:47:44","558","595"
